醤	酱
萇	苌
網	网
禿	秃
憳	忐
貫	贯
聳	耸
遅	遲
饉	馑
溫	温
𫟈	美
嘫	然
鍳	鉴
㧰	擽
鉄	鐵
𣪫	殿
呪	咒
鎿	镎
𨍽	輥
𪥬	㛫
駙	驸
豼	貔
謕	啼
憇	憩
驚	惊
韀	鞯
甊	瓿
朶	朵
蟰	蠨
佉	祛
嬾	懒
閗	鬥
衟	道
鹚	鸬
纊	纩
宼	寇
円	圆
𫎢	僦
箵	笭
騰	腾
燬	毁
猒	厌
𠫷	谻
峌	嵽
瘉	愈
絼	纼
挵	弄
虵	蛇
翶	翱
蔱	樧
痠	酸
慼	戚
糡	糨
惪	德
閹	阄
曅	晔
覧	览
𪾛	煝
𨨕	鏒
匩	匡
諏	诹
罎	坛
鶩	鹜
謔	谑
𩘥	颽
𤨏	瑣
𫗞	飦
闚	窥
愵	惄
購	购
阥	阴
紺	绀
𩸄	鳠
賎	贱
牐	闸
厺	去
虛	虚
鵪	鹌
鐚	铔
鏞	镛
顖	囟
覊	羈
丣	酉
辡	辩
魌	䫏
镟	旋
聟	婿
鐝	镢
僨	偾
譈	憝
詛	诅
週	周
蹺	跷
蕛	稊
詠	咏
孌	娈
𥐰	區
𩵋	魚
𡰣	尸
穠	秾
鯽	鲫
𣑯	桃
尀	叵
𤝕	猦
顱	颅
躍	跃
𥝢	利
憰	谲
侭	尽
𫟡	誴
蠇	蛎
糤	馓
尶	尴
挊	弄
徤	健
孃	娘
櫧	槠
掶	捷
綠	绿
戧	戗
驩	欢
𪧭	親
櫺	棂
騮	骝
漲	涨
鑜	鋿
𤆕	忍
釤	钐
汬	阱
戝	贼
懲	惩
𫠒	鱆
雞	鷄
謓	嗔
鋦	锔
霼	靉
豶	豮
匂	匈
辬	斑
領	领
珎	珍
閂	闩
畣	答
闈	闱
鏑	镝
𩯫	鬢
闊	阔
鱇	鮟
埊	地
繦	襁
𣴷	挱
婣	姻
㖞	喎
兓	駸
崋	華
複	复
鉨	玺
鬩	阋
珟	玊
稲	稻
踡	蜷
薉	秽
俠	侠
顬	颥
𫊝	虐
鈁	钫
獸	兽
繐	穗
鹕	鹈
嚕	噜
鴋	鷝
賖	赊
嶚	嶛
韌	韧
靭	韧
羗	羌
枦	栌
夢	梦
鑤	刨
葢	蓋
苺	莓
覦	觎
遀	随
詋	咒
牘	牍
䮈	馳
䠂	楚
𪼄	瑑
塋	茔
漧	干
𪠑	搏
輽	軬
𪪕	阹
熦	爝
嫵	妩
湞	浈
偘	侃
紳	绅
珁	瓷
峩	峨
檢	检
脫	脱
換	换
鬡	鬇
礸	礤
鞀	鼗
鑒	鉴
迧	陈
筍	笋
詢	询
嬺	昵
穨	颓
韯	韱
𫝦	㛝
𠥫	籩
瘖	喑
畞	亩
勠	戮
燨	爔
膑	髌
庺	松
炛	光
餵	喂
㪥	抯
𣴁	汐
飫	饫
雦	集
覻	觑
𡲆	屐
覽	览
枠	桦
鰼	鳛
鱱	鳢
櫽	檃
䌇	索
邇	迩
獻	献
創	创
鏛	鋿
𪥊	佅
𢟽	慕
𥲽	矬
尃	敷
旣	既
櫱	蘖
伱	你
圾	垃
籲	吁
𫝚	囀
薩	萨
譲	让
鳿	鸀
邊	边
蕘	荛
𫌭	覹
濼	泺
蘴	葑
鍟	鉎
𫞰	盈
貋	豻
術	术
贑	赣
硃	朱
悞	悮
數	数
𪾘	缾
鬚	须
鸎	莺
尣	尪
輇	辁
丿	撇
巒	峦
叚	假
灩	灧
莕	荇
鯖	鲭
旍	旌
𡛰	嬂
壷	壶
𢆍	臿
圀	国
収	收
羨	羡
逜	牾
彌	弥
鷟	鸑
億	亿
輓	挽
闀	鬨
昰	是
戸	户
垻	坝
瓇	瑈
𫟌	苅
𪧒	客
𫍑	譍
猔	豵
衖	巷
蛕	蛔
竪	竖
鹴	鹔
贍	赡
𫒷	鐸
儉	俭
芀	苕
酖	耽
鋁	铝
覷	觑
𣏥	楼
鞏	巩
逩	奔
詧	察
粚	黐
刂	刀
俔	伣
潧	溱
鸯	鸳
讒	谗
簙	博
鄭	郑
籙	箓
凜	凛
閏	闰
壚	垆
豿	狗
謡	谣
饝	馍
飈	飚
痺	痹
霴	靆
鍓	鏶
訩	讻
鴛	鸳
鯰	鲇
婯	丽
鼑	鼎
躳	躬
𣺌	渺
籨	奁
鰹	鲣
釅	酽
薦	荐
輒	辄
鉞	钺
緕	纃
𫟤	䡐
毢	毰
鋸	锯
驌	骕
氇	氆
簔	蓑
鸞	鸾
邐	逦
賌	赅
痮	胀
𡸅	弢
乹	乾
哣	咅
兘	始
𫟉	職
譌	讹
澤	泽
炿	烐
褎	袖
𫝱	寧
𡶾	旹
鶋	鶢
牕	窗
襍	杂
犾	㹜
糉	粽
渋	涩
𤼵	發
瀂	澛
鄁	邶
蔘	参
劅	斀
鄉	乡
恆	恒
櫛	栉
篲	彗
櫘	槥
孯	掔
呅	吻
竼	篷
剼	刈
蟽	蝲
諗	谂
簑	蓑
𥰫	筮
鹠	鸺
櫻	樱
灐	瀅
苈	葶
蘷	夔
顇	悴
躏	蹂
𩧀	驖
